id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,2025-239276,2025-01-03,000001,Vente,160000,142,Unnamed: 6,RUE LAREVELLIERE,4650,49100,49007,Angers,49,Unnamed: 13,Unnamed: 14,49007000CI0009,Unnamed: 16,Unnamed: 17,60,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,1,3,Dépendance,Unnamed: 31,0,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,-0.52765,47.471092,annee,mois,prix_m2,type_encode
2024-586717,2024-01-12,1.0,Vente,188000.0,10.0,,ALL DU VERCORS,7916,49100.0,49007.0,Angers,49.0,,,49007000AX0022,,,,,,,,,,,,,0.0,1.0,Maison,71.0,4.0,S,sols,,,320.0,-0.528511,47.49192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2647.887323943662,1
2024-586719,2024-01-11,1.0,Vente,220000.0,20.0,B,RUE DU PRESSOIR,0146,49370.0,49367.0,Erdre-en-Anjou,49.0,,,49367249AE0266,,,,,,,,,,,,,0.0,1.0,Maison,99.0,5.0,S,sols,,,566.0,-0.800284,47.553847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2222.222222222222,1
2024-586722,2024-01-08,1.0,Vente,100000.0,8.0,,RUE DU BOIS LONG,1052,49520.0,49248.0,Ombrée d'Anjou,49.0,,,49248103AK0118,,,,,,,,,,,,,0.0,1.0,Maison,97.0,3.0,S,sols,,,121.0,-0.986878,47.715709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1030.9278350515465,1
2024-586727,2024-01-05,1.0,Vente,103000.0,5949.0,,MOC SOURIS (CHAMPTOCEAUX),B106,49270.0,49069.0,Orée d'Anjou,49.0,,,49069000AO0764,,,3.0,36.41,,,,,,,,,1.0,1.0,Maison,37.0,2.0,,,,,,-1.260987,47.332305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2783.7837837837837,1
2024-586729,2024-01-11,1.0,Vente,268000.0,12.0,,RUE GEORGES TIGNON PSB,4829,49300.0,49099.0,Cholet,49.0,,,49099950ZC0124,,,,,,,,,,,,,0.0,1.0,Maison,115.0,4.0,S,sols,,,379.0,-0.898128,46.996343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2330.4347826086955,1
2024-586732,2024-01-12,1.0,Vente,165000.0,7.0,,RUE DE LA JUDICION,0054,49123.0,49068.0,Champtocé-sur-Loire,49.0,,,490680000F1662,,,,,,,,,,,,,0.0,1.0,Maison,75.0,3.0,S,sols,,,369.0,-0.866488,47.41178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2200.0,1
2024-586733,2024-01-02,1.0,Vente,142000.0,3.0,,CHE DE LA BILANGERIE,1925,49310.0,49373.0,Lys-Haut-Layon,49.0,,,49373379AX0052,,,,,,,,,,,,,0.0,1.0,Maison,73.0,4.0,S,sols,,,979.0,-0.54142,47.157335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1945.2054794520548,1
2024-586734,2024-01-10,1.0,Vente,55000.0,12.0,,PL SAINT PAUL,0117,49220.0,49367.0,Erdre-en-Anjou,49.0,,,493671480B0335,,,,,,,,,,,,,0.0,1.0,Maison,52.0,2.0,S,sols,,,90.0,-0.802278,47.63091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1057.6923076923076,1
2024-586735,2024-01-05,1.0,Vente,145000.0,18.0,,RUE DU COTEAU (LE FUILET ),0478,49270.0,49218.0,Montrevault-sur-Èvre,49.0,,,49218145WD0170,,,,,,,,,,,,,0.0,1.0,Maison,85.0,3.0,S,sols,,,899.0,-1.112799,47.282381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1705.8823529411766,1
2024-586736,2024-01-08,1.0,Vente,175000.0,10.0,,RUE LA FONTAINE,0057,49220.0,49367.0,Erdre-en-Anjou,49.0,,,493670000B1573,,,,,,,,,,,,,0.0,1.0,Maison,104.0,5.0,S,sols,,,310.0,-0.833197,47.600225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1682.6923076923076,1
